Title;Type;Date of release;runtime;score;languages;Title.7;Genre;Premiere;Runtime;IMDB Score;Language
Enter the Anime;Documentary;August 5, 2019;58;25;English/Japanese;;;;;;
Dark Forces;Thriller;August 21, 2020;81;26;Spanish;;;;;;
The App;Science fiction/Drama;December 26, 2019;79;26;Italian;;;;;;
The Open House;Horror thriller;January 19, 2018;94;32;English;;;;;;
Kaali Khuhi;Mystery;October 30, 2020;90;34;Hindi;;;;;;
Drive;Action;November 1, 2019;147;35;Hindi;;;;;;
Leyla Everlasting;Comedy;December 4, 2020;112;37;Turkish;;;;;;
The Last Days of American Crime;Heist film/Thriller;June 5, 2020;149;37;English;;;;;;
Paradox;Musical/Western/Fantasy;March 23, 2018;73;39;English;;;;;;
Sardar Ka Grandson;Comedy;May 18, 2021;139;41;Hindi;;;;;;
Searching for Sheela;Documentary;April 22, 2021;58;41;English;;;;;;
The Call;Drama;November 27, 2020;112;41;Korean;;;;;;
Whipped;Romantic comedy;September 18, 2020;97;41;Indonesian;;;;;;
All Because of You;Action comedy;October 1, 2020;101;42;Malay;;;;;;
Mercy;Thriller;November 22, 2016;90;42;English;;;;;;
After the Raid;Documentary;December 19, 2019;25;43;Spanish;;;;;;
Ghost Stories;Horror anthology;January 1, 2020;144;43;Hindi;;;;;;
The Last Thing He Wanted;Political thriller;February 21, 2020;115;43;English;;;;;;
What Happened to Mr. Cha?;Comedy;January 1, 2021;102;43;Korean;;;;;;
Death Note;Horror thriller;August 25, 2017;100;44;English;;;;;;
Secret Obsession;Thriller;July 18, 2019;97;44;English;;;;;;
Sextuplets;Comedy;August 16, 2019;99;44;English;;;;;;
The Girl on the Train;Thriller;February 26, 2021;120;44;Hindi;;;;;;
Thunder Force;Superhero-Comedy;April 9, 2021;105;44;English;;;;;;
Fatal Affair;Thriller;July 16, 2020;89;45;English;;;;;;
Just Say Yes;Romantic comedy;April 2, 2021;97;45;Dutch;;;;;;
Seriously Single;Comedy;July 31, 2020;107;45;English;;;;;;
The Misadventures of Hedi and Cokeman;Comedy;February 10, 2021;99;45;French;;;;;;
5 Star Christmas;Comedy;December 7, 2018;95;46;Italian;;;;;;
After Maria;Documentary;May 24, 2019;37;46;English/Spanish;;;;;;
I Am the Pretty Thing That Lives in the House;Horror;October 28, 2016;89;46;English;;;;;;
Paris Is Us;Romance drama;February 22, 2019;83;46;French;;;;;;
Porta dos Fundos: The First Temptation of Christ;Comedy;December 3, 2019;46;46;Portuguese;;;;;;
Rattlesnake;Horror;October 25, 2019;85;46;English;;;;;;
The Players;Comedy;July 15, 2020;88;46;Italian;;;;;;
We Are One;Documentary;July 14, 2020;86;46;French;;;;;;
Finding Agnes;Drama;November 30, 2020;105;47;Filipino;;;;;;
IO;Science fiction/Drama;January 18, 2019;95;47;English;;;;;;
Sentinelle;Action;March 5, 2021;80;47;French;;;;;;
Sol Levante;Anime / Short;April 2, 2020;4;47;English;;;;;;
The Binding;Drama;October 2, 2020;93;47;Italian;;;;;;
We Can Be Heroes;Superhero;December 25, 2020;100;47;English;;;;;;
Christmas Crossfire;Thriller;December 4, 2020;106;48;German;;;;;;
Coin Heist;Heist;January 6, 2017;97;48;English;;;;;;
Mrs. Serial Killer;Thriller;May 1, 2020;106;48;Hindi;;;;;;
Nobody Sleeps in the Woods Tonight;Horror;October 28, 2020;103;48;Polish;;;;;;
Take the 10;Comedy;January 20, 2017;80;48;English;;;;;;
The Main Event;Comedy;April 10, 2020;101;48;English;;;;;;
The Ridiculous 6;Western;December 11, 2015;119;48;English;;;;;;
Earth and Blood;Action;April 17, 2020;80;49;French;;;;;;
Fearless;Animation/Superhero;August 14, 2020;89;49;English;;;;;;
Holiday Rush;Family film;November 28, 2019;94;49;English;;;;;;
The Day of the Lord;Drama;October 30, 2020;93;49;Spanish;;;;;;
Airplane Mode;Comedy;January 23, 2020;96;5;Portuguese;;;;;;
How It Ends;Action-thriller;July 13, 2018;113;5;English;;;;;;
Love Like the Falling Rain;Drama;October 15, 2020;86;5;Indonesian;;;;;;
Rebirth;Thriller;July 15, 2016;100;5;English;;;;;;
Squared Love;Romantic comedy;February 11, 2021;102;5;Polish;;;;;;
Cadaver;Horror;October 22, 2020;86;51;Norwegian;;;;;;
Clinical;Thriller;January 13, 2017;104;51;English;;;;;;
Coffee & Kareem;Action comedy;April 3, 2020;88;51;English;;;;;;
Dude;Teen comedy-drama;April 20, 2018;97;51;English;;;;;;
Geez & Ann;Romantic drama;February 25, 2021;105;51;Indonesian;;;;;;
The Larva Island Movie;Animation;July 23, 2020;90;51;English;;;;;;
#REALITYHIGH;Comedy;September 8, 2017;99;52;English;;;;;;
American Factory: A Conversation with the Obamas ;Aftershow / Interview;August 21, 2019;10;52;English;;;;;;
Desperados;Romantic comedy;July 3, 2020;106;52;English;;;;;;
Dolly Parton's Christmas on the Square;Christmas musical;November 22, 2020;98;52;English;;;;;;
Father of the Year;Comedy;July 20, 2018;94;52;English;;;;;;
Firebrand;Drama;February 22, 2019;112;52;Marathi;;;;;;
Ghost Lab;Horror;May 26, 2021;117;52;Thai;;;;;;
Girlfriend's Day;Comedy;February 14, 2017;70;52;English;;;;;;
Handsome: A Netflix Mystery Movie;Comedy;May 5, 2017;81;52;English;;;;;;
Hubie Halloween;Comedy;October 7, 2020;103;52;English;;;;;;
Ibiza;Comedy;May 25, 2018;94;52;English;;;;;;
Rim of the World;Science fiction adventure;May 24, 2019;98;52;English;;;;;;
Sandy Wexler;Comedy;April 14, 2017;131;52;English;;;;;;
See You Yesterday;Science fiction;May 17, 2019;87;52;English;;;;;;
Still Laugh-In: The Stars Celebrate;Variety show;May 14, 2019;60;52;English;;;;;;
Strip Down; Rise Up;Documentary;0;112;5.2;;;;;;
Tall Girl;Comedy-drama;September 13, 2019;102;52;English;;;;;;
